exp,alpha,beta,k_sigma,escopo,n_picos,n_segs,P@5,R@5,F1@5,P@10,R@10,F1@10,P@15,R@15,F1@15
asr_only,1.0,0.0,1.0,jogo_corte-unificada,13,12,0.3846,0.3846,0.3846,0.5385,0.5385,0.5385,0.6154,0.6154,0.6154
asr_only,1.0,0.0,1.0,jogo_corte-msn,9,9,0.0,0.0,0.0,0.2222,0.2,0.2105,0.3333,0.3,0.3158
asr_only,1.0,0.0,1.0,AGREGADO,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
asr_only,1.0,0.0,1.5,jogo_corte-unificada,13,12,0.3846,0.3846,0.3846,0.5385,0.5385,0.5385,0.6154,0.6154,0.6154
asr_only,1.0,0.0,1.5,jogo_corte-msn,9,9,0.0,0.0,0.0,0.2222,0.2,0.2105,0.3333,0.3,0.3158
asr_only,1.0,0.0,1.5,AGREGADO,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
asr_only,1.0,0.0,2.0,jogo_corte-unificada,13,12,0.3846,0.3846,0.3846,0.5385,0.5385,0.5385,0.6154,0.6154,0.6154
asr_only,1.0,0.0,2.0,jogo_corte-msn,9,9,0.0,0.0,0.0,0.2222,0.2,0.2105,0.3333,0.3,0.3158
asr_only,1.0,0.0,2.0,AGREGADO,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
asr_only,1.0,0.0,2.5,jogo_corte-unificada,13,12,0.3846,0.3846,0.3846,0.5385,0.5385,0.5385,0.6154,0.6154,0.6154
asr_only,1.0,0.0,2.5,jogo_corte-msn,9,9,0.0,0.0,0.0,0.2222,0.2,0.2105,0.3333,0.3,0.3158
asr_only,1.0,0.0,2.5,AGREGADO,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
ser_only,0.0,1.0,1.0,jogo_corte-unificada,29,22,0.2069,0.4615,0.2857,0.4138,0.9231,0.5714,0.4138,0.9231,0.5714
ser_only,0.0,1.0,1.0,jogo_corte-msn,19,15,0.2632,0.5,0.3448,0.2632,0.5,0.3448,0.3158,0.6,0.4138
ser_only,0.0,1.0,1.0,AGREGADO,48,37,0.2292,0.4783,0.3099,0.3542,0.7391,0.4789,0.375,0.7826,0.507
ser_only,0.0,1.0,1.5,jogo_corte-unificada,17,14,0.3529,0.4615,0.4,0.5882,0.7692,0.6667,0.5882,0.7692,0.6667
ser_only,0.0,1.0,1.5,jogo_corte-msn,14,10,0.2857,0.4,0.3333,0.2857,0.4,0.3333,0.2857,0.4,0.3333
ser_only,0.0,1.0,1.5,AGREGADO,31,24,0.3226,0.4348,0.3704,0.4516,0.6087,0.5185,0.4516,0.6087,0.5185
ser_only,0.0,1.0,2.0,jogo_corte-unificada,7,7,0.5714,0.3077,0.4,0.8571,0.4615,0.6,0.8571,0.4615,0.6
ser_only,0.0,1.0,2.0,jogo_corte-msn,5,5,0.4,0.2,0.2667,0.4,0.2,0.2667,0.4,0.2,0.2667
ser_only,0.0,1.0,2.0,AGREGADO,12,12,0.5,0.2609,0.3429,0.6667,0.3478,0.4571,0.6667,0.3478,0.4571
ser_only,0.0,1.0,2.5,jogo_corte-unificada,4,4,0.5,0.1538,0.2353,1.0,0.3077,0.4706,1.0,0.3077,0.4706
ser_only,0.0,1.0,2.5,jogo_corte-msn,1,1,1.0,0.1,0.1818,1.0,0.1,0.1818,1.0,0.1,0.1818
ser_only,0.0,1.0,2.5,AGREGADO,5,5,0.6,0.1304,0.2143,1.0,0.2174,0.3571,1.0,0.2174,0.3571
rms_only,,,1.0,jogo_corte-unificada,43,28,0.1628,0.5385,0.25,0.3023,1.0,0.4643,0.3023,1.0,0.4643
rms_only,,,1.0,jogo_corte-msn,19,14,0.1579,0.3,0.2069,0.2632,0.5,0.3448,0.3158,0.6,0.4138
rms_only,,,1.0,AGREGADO,62,42,0.1613,0.4348,0.2353,0.2903,0.7826,0.4235,0.3065,0.8261,0.4471
rms_only,,,1.5,jogo_corte-unificada,27,22,0.2222,0.4615,0.3,0.4074,0.8462,0.55,0.4444,0.9231,0.6
rms_only,,,1.5,jogo_corte-msn,11,8,0.2727,0.3,0.2857,0.4545,0.5,0.4762,0.4545,0.5,0.4762
rms_only,,,1.5,AGREGADO,38,30,0.2368,0.3913,0.2951,0.4211,0.6957,0.5246,0.4474,0.7391,0.5574
rms_only,,,2.0,jogo_corte-unificada,12,12,0.3333,0.3077,0.32,0.5,0.4615,0.48,0.5833,0.5385,0.56
rms_only,,,2.0,jogo_corte-msn,7,4,0.2857,0.2,0.2353,0.2857,0.2,0.2353,0.2857,0.2,0.2353
rms_only,,,2.0,AGREGADO,19,16,0.3158,0.2609,0.2857,0.4211,0.3478,0.381,0.4737,0.3913,0.4286
rms_only,,,2.5,jogo_corte-unificada,2,2,0.5,0.0769,0.1333,1.0,0.1538,0.2667,1.0,0.1538,0.2667
rms_only,,,2.5,jogo_corte-msn,4,4,0.5,0.2,0.2857,0.5,0.2,0.2857,0.5,0.2,0.2857
rms_only,,,2.5,AGREGADO,6,6,0.5,0.1304,0.2069,0.6667,0.1739,0.2759,0.6667,0.1739,0.2759
fusion,0.7,0.3,1.0,jogo_corte-unificada,15,13,0.4667,0.5385,0.5,0.6,0.6923,0.6429,0.6667,0.7692,0.7143
fusion,0.7,0.3,1.0,jogo_corte-msn,9,9,0.0,0.0,0.0,0.2222,0.2,0.2105,0.3333,0.3,0.3158
fusion,0.7,0.3,1.0,AGREGADO,24,22,0.2917,0.3043,0.2979,0.4583,0.4783,0.4681,0.5417,0.5652,0.5532
fusion,0.7,0.3,1.5,jogo_corte-unificada,13,12,0.3846,0.3846,0.3846,0.5385,0.5385,0.5385,0.6154,0.6154,0.6154
fusion,0.7,0.3,1.5,jogo_corte-msn,9,9,0.0,0.0,0.0,0.2222,0.2,0.2105,0.3333,0.3,0.3158
fusion,0.7,0.3,1.5,AGREGADO,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
fusion,0.7,0.3,2.0,jogo_corte-unificada,13,12,0.3846,0.3846,0.3846,0.5385,0.5385,0.5385,0.6154,0.6154,0.6154
fusion,0.7,0.3,2.0,jogo_corte-msn,9,9,0.0,0.0,0.0,0.2222,0.2,0.2105,0.3333,0.3,0.3158
fusion,0.7,0.3,2.0,AGREGADO,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
fusion,0.7,0.3,2.5,jogo_corte-unificada,13,12,0.3846,0.3846,0.3846,0.5385,0.5385,0.5385,0.6154,0.6154,0.6154
fusion,0.7,0.3,2.5,jogo_corte-msn,9,9,0.0,0.0,0.0,0.2222,0.2,0.2105,0.3333,0.3,0.3158
fusion,0.7,0.3,2.5,AGREGADO,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
fusion,0.6,0.4,1.0,jogo_corte-unificada,16,13,0.5,0.6154,0.5517,0.625,0.7692,0.6897,0.625,0.7692,0.6897
fusion,0.6,0.4,1.0,jogo_corte-msn,11,11,0.0,0.0,0.0,0.1818,0.2,0.1905,0.2727,0.3,0.2857
